Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.3,750.0,12.0,0.5,4.71,0.22,188.93,771.0,0.4,180000.0,82.913,78.252,0.994,1.0592128,0.12912217,0.5394186,-0.22623274,-1.0286223,0.09799447,0.03494484,-0.23108855,0.00065459334,0.43179047
0.3,750.0,3.97,10.0,12.8,0.71,180.5,350.0,6.1,60000.0,61.33,72.78,0.738,0.25764596,0.5357402,-0.68182254,-0.85160136,-0.710175,0.5978925,-0.5862887,0.051987786,-0.17003207,-0.20385319
0.3,750.0,3.97,20.0,12.8,0.71,180.5,350.0,6.1,60000.0,56.0,68.89,0.708,0.25764596,0.5357402,-0.68182254,-0.85160136,-0.710175,0.5978925,-0.5862887,0.051987786,-0.17003207,-0.20385319
0.3,750.0,3.97,40.0,12.8,0.71,180.5,350.0,6.1,60000.0,48.0,60.0,0.585,0.25764596,0.5357402,-0.68182254,-0.85160136,-0.710175,0.5978925,-0.5862887,0.051987786,-0.17003207,-0.20385319
0.3,750.0,3.97,40.0,12.8,0.71,180.5,350.0,6.1,60000.0,51.33,63.89,0.615,0.25764596,0.5357402,-0.68182254,-0.85160136,-0.710175,0.5978925,-0.5862887,0.051987786,-0.17003207,-0.20385319
0.333,800.0,10.0,5.0,31.9,0.25,35.6,758.0,26.5,36000.0,94.76,92.9,1.02,-0.79701793,0.6766461,-1.6736671,0.59592146,-0.23932265,0.71880174,-0.44376382,-0.15273982,-0.099797554,-0.14941514
0.333,800.0,10.0,5.0,31.9,0.25,35.6,758.0,26.5,36000.0,87.143,89.85,0.978,-0.79701793,0.6766461,-1.6736671,0.59592146,-0.23932265,0.71880174,-0.44376382,-0.15273982,-0.099797554,-0.14941514
0.333,700.0,10.0,5.0,31.9,0.25,35.6,758.0,26.5,36000.0,62.857,67.5,0.93,-0.79701793,0.6766461,-1.6736671,0.59592146,-0.23932265,0.71880174,-0.44376382,-0.15273982,-0.099797554,-0.14941514
0.333,600.0,10.0,5.0,31.9,0.25,35.6,758.0,26.5,36000.0,32.857,40.61,0.633,-0.79701793,0.6766461,-1.6736671,0.59592146,-0.23932265,0.71880174,-0.44376382,-0.15273982,-0.099797554,-0.14941514
0.333,500.0,10.0,5.0,31.9,0.25,35.6,758.0,26.5,36000.0,13.3,15.228,0.543,-0.79701793,0.6766461,-1.6736671,0.59592146,-0.23932265,0.71880174,-0.44376382,-0.15273982,-0.099797554,-0.14941514
